procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0     12 148104  36128 555116    0    0     0     0  831  171  1 47 52  0  0  0
 0  0     12 148104  36128 555116    0    0     0     4  575  152  0 30 70  0  0  0
 0  0     12 148136  36128 555116    0    0     0   112  657  162  0 33 67  0  0  0
 1  0     12 147424  36136 555120    0    0     0    32  542  164  0 27 73  0  0  0
 1  0     12 148028  36136 555120    0    0     0     8  336  149  0 14 86  0  0  0
 0  0     12 148128  36136 555120    0    0     0     0  478  142  0 23 77  0  0  0
 0  0     12 147644  36136 555120    0    0     0     0  740  166  1 40 59  0  0  0
 0  0     12 148032  36136 555124    0    0     0     4  674  168  0 36 64  0  0  0
 0  0     12 148124  36136 555124    0    0     0     0  556  153  0 27 73  0  0  0
 0  0     12 148116  36144 555124    0    0     0    36  646  154  1 35 64  0  0  0
 0  0     12 148272  36144 555124    0    0     0     0  554  148  0 29 71  0  0  0
 0  0     12 148272  36144 555124    0    0     0     0  546  140  0 27 73  0  0  0
 0  0     12 148076  36144 555128    0    0     0     0  550  158  0 28 72  0  0  0
 0  0     12 147596  36144 555128    0    0     0     4  596  147  0 30 70  0  0  0
 0  0     12 148260  36152 555128    0    0     0   120  754  157  0 42 58  0  0  0
 0  0     12 148264  36152 555128    0    0     0     8  607  146  1 32 67  0  0  0
 0  0     12 148096  36152 555128    0    0     0     0  708  168  0 39 61  0  0  0
 1  0     12 148064  36152 555132    0    0     0     0  405  134  1 18 81  0  0  0
 0  0     12 148096  36152 555132    0    0     0     0  512  164  0 25 75  0  0  0
 2  0     12 146884  36160 555132    0    0     0    32  482  153  0 23 77  0  0  0
 0  0     12 148248  36160 555132    0    0     0     8  664  162  0 35 65  0  0  0
 1  0     12 147988  36160 555136    0    0     0     0  537  137  1 27 72  0  0  0
 1  0     12 148084  36160 555136    0    0     0     0  702  152  0 37 63  0  0  0
 0  0     12 147416  36160 555136    0    0     0     0  398  139  0 17 83  0  0  0
 0  0     12 147356  36168 555136    0    0     0    28  648  164  0 34 66  0  0  0
 1  0     12 147824  36168 555136    0    0     0    12  582  146  0 31 69  0  0  0
 0  0     12 148232  36168 555140    0    0     0     0  687  153  0 36 64  0  0  0
 0  0     12 148040  36168 555140    0    0     0     0  833  190  1 48 51  0  0  0
 0  0     12 147592  36168 555140    0    0     0     0  757  166  0 41 59  0  0  0
 1  0     12 147968  36176 555132    0    0     0    28  596  159  0 30 70  0  0  0
 0  0     12 148060  36176 555144    0    0     0    12  490  148  0 24 76  0  0  0
 1  0     12 148220  36176 555144    0    0     0     4  766  168  0 42 58  0  0  0
 0  0     12 148060  36176 555144    0    0     0     0  435  142  0 20 80  0  0  0
 0  0     12 147548  36176 555148    0    0     0     0  580  148  1 30 69  0  0  0
 1  0     12 147324  36176 555148    0    0     0     0  373  146  0 15 85  0  0  0
 0  0     12 147564  36184 555152    0    0     0    28  555  175  1 27 72  0  0  0
 1  0     12 147788  36184 555152    0    0     0     8  547  172  0 27 73  0  0  0
 0  0     12 147372  36184 555152    0    0     0     8  789  160  0 43 57  0  0  0
 2  0     12 147660  36184 555152    0    0     0     0  395  140  0 17 83  0  0  0
 0  0     12 148200  36184 555156    0    0     0     0  486  145  1 24 75  0  0  0
 0  0     12 147364  36192 555156    0    0     0    28  349  141  0 15 85  0  0  0
 0  0     12 148000  36192 555156    0    0     0     8  718  160  0 38 62  0  0  0
 0  0     12 148000  36192 555156    0    0     0     0  673  133  0 36 64  0  0  0
 1  0     12 148000  36192 555156    0    0     0     4  708  153  1 38 61  0  0  0
 1  0     12 147552  36192 555160    0    0     0     0  500  145  0 23 77  0  0  0
 0  0     12 147992  36200 555160    0    0     0    28  456  148  0 22 78  0  0  0
 1  0     12 147540  36200 555160    0    0     0     8  667  171  0 34 66  0  0  0
 1  0     12 147092  36200 555160    0    0     0     0  516  138  0 25 75  0  0  0
 0  0     12 147984  36200 555164    0    0     0     0  666  144  1 36 63  0  0  0
 1  0     12 147120  36200 555164    0    0     0     4  725  153  0 39 61  0  0  0
 0  0     12 147284  36208 555156    0    0     0    32  380  137  0 17 83  0  0  0
 0  0     12 147528  36208 555164    0    0     0     0  561  159  0 27 73  0  0  0
 0  0     12 147724  36208 555164    0    0     0     8  864  158  0 49 51  0  0  0
 0  0     12 148164  36208 555168    0    0     0     0  390  137  0 17 83  0  0  0
 0  0     12 148008  36208 555168    0    0     0     0  758  146  0 42 58  0  0  0
 2  0     12 146824  36216 555160    0    0     0    32  500  150  1 23 76  0  0  0
 0  0     12 147484  36216 555168    0    0     0     0  554  161  0 28 72  0  0  0
 0  0     12 146820  36216 555168    0    0     0     8  566  146  0 27 73  0  0  0
 1  0     12 147900  36216 555172    0    0     0     0  560  132  0 27 73  0  0  0
 1  0     12 147096  36216 555172    0    0     0     0  666  176  0 36 64  0  0  0
 1  0     12 147864  36216 555172    0    0     0     0  489  146  0 24 76  0  0  0
 0  0     12 148148  36224 555172    0    0     0    32  634  162  1 31 67  0  0  0
 0  0     12 147948  36224 555176    0    0     0    12  687  152  0 38 62  0  0  0
 1  0     12 147884  36224 555176    0    0     0     0  506  140  0 24 76  0  0  0
 0  0     12 148112  36224 555176    0    0     0     0  633  153  0 33 67  0  0  0
 0  0     12 147500  36224 555176    0    0     0     0  470  164  0 22 78  0  0  0
 0  0     12 148124  36232 555184    0    0     0    28  760  175  1 42 57  0  0  0
 0  0     12 147484  36232 555184    0    0     0     4  552  146  0 27 73  0  0  0
 0  0     12 147932  36232 555184    0    0     0     8  475  160  0 22 78  0  0  0
 2  0     12 147008  36232 555184    0    0     0     0  475  135  0 22 78  0  0  0
 1  0     12 147936  36232 555184    0    0     0     0  730  135  0 40 60  0  0  0
 0  0     12 147472  36240 555188    0    0     0    28  490  149  0 23 76  1  0  0
 0  0     12 147956  36240 555188    0    0     0     0  695  135  1 37 62  0  0  0
