#Date;Time;[CPU]User%;[CPU]Nice%;[CPU]Sys%;[CPU]Wait%;[CPU]Irq%;[CPU]Soft%;[CPU]Steal%;[CPU]Idle%;[CPU]Totl%;[CPU]Guest%;[CPU]GuestN%;[CPU]Intrpt/sec;[CPU]Ctx/sec;[CPU]Proc/sec;[CPU]ProcQue;[CPU]ProcRun;[CPU]L-Avg1;[CPU]L-Avg5;[CPU]L-Avg15;[CPU]RunTot;[CPU]BlkTot;[MEM]Tot;[MEM]Used;[MEM]Free;[MEM]Shared;[MEM]Buf;[MEM]Cached;[MEM]Slab;[MEM]Map;[MEM]Anon;[MEM]AnonH;[MEM]Commit;[MEM]Locked;[MEM]SwapTot;[MEM]SwapUsed;[MEM]SwapFree;[MEM]SwapIn;[MEM]SwapOut;[MEM]Dirty;[MEM]Clean;[MEM]Laundry;[MEM]Inactive;[MEM]PageIn;[MEM]PageOut;[MEM]PageFaults;[MEM]PageMajFaults;[MEM]HugeTotal;[MEM]HugeFree;[MEM]HugeRsvd;[MEM]SUnreclaim;[NET]RxPktTot;[NET]TxPktTot;[NET]RxKBTot;[NET]TxKBTot;[NET]RxCmpTot;[NET]RxMltTot;[NET]TxCmpTot;[NET]RxErrsTot;[NET]TxErrsTot;[DSK]ReadTot;[DSK]WriteTot;[DSK]OpsTot;[DSK]ReadKBTot;[DSK]WriteKBTot;[DSK]KbTot;[DSK]ReadMrgTot;[DSK]WriteMrgTot;[DSK]MrgTot;[NFS]ReadsS;[NFS]WritesS;[NFS]MetaS;[NFS]CommitS;[NFS]Udp;[NFS]Tcp;[NFS]TcpConn;[NFS]BadAuth;[NFS]BadClient;[NFS]ReadsC;[NFS]WritesC;[NFS]MetaC;[NFS]CommitC;[NFS]Retrans;[NFS]AuthRef
20251011;12:53:24;86;0;1;0;0;0;0;12;88;0;0;7023;562;0;666;9;297;86;30;9;0;15995824;6148428;9847396;0;79892;1265404;241448;352300;4331232;16384;9314480;16;2097148;1536;2095612;0;0;196;0;0;496548;0;0;24524;0;0;0;0;171460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:25;87;0;1;0;0;0;0;12;88;0;0;7071;768;0;666;9;345;100;35;9;0;15995824;6242292;9753532;0;79892;1265468;241448;352300;4432532;16384;9314480;16;2097148;1536;2095612;0;0;196;0;0;496548;0;0;25524;0;0;0;0;171460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:26;87;0;1;0;0;0;0;13;87;0;0;7039;609;0;666;9;345;100;35;9;0;15995824;6311704;9684120;0;79900;1265468;241448;352300;4509572;16384;9314480;16;2097148;1536;2095612;0;0;200;0;0;496548;0;12;19085;0;0;0;0;171460;0;0;0;0;0;0;0;0;0;0;2;2;0;12;12;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:27;87;0;1;0;0;0;0;12;88;0;0;7171;864;6;666;9;345;100;35;9;0;15995824;6377316;9618508;0;79900;1265468;241448;352300;4578664;16384;9314480;16;2097148;1536;2095612;0;0;200;0;0;496548;0;0;18214;0;0;0;0;171460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:28;87;0;1;0;0;0;0;12;88;0;0;7037;594;0;666;9;345;100;35;9;0;15995824;6466020;9529804;0;79900;1265468;241448;352300;4670052;16384;9314480;16;2097148;1536;2095612;0;0;200;0;0;496548;0;0;22786;0;0;0;0;171460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:29;87;0;1;0;0;0;0;12;88;0;0;7034;625;0;666;9;345;100;35;9;0;15995824;6546408;9449416;0;79900;1265468;241448;352300;4772396;16384;9314480;16;2097148;1536;2095612;0;0;200;0;0;496548;0;0;25662;0;0;0;0;171460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:30;87;0;1;0;0;0;0;12;88;0;0;7033;581;0;666;10;390;113;40;10;0;15995824;6651240;9344584;0;79900;1265468;241448;352300;4871876;16384;9314480;16;2097148;1536;2095612;0;0;200;0;0;496548;0;0;24843;0;0;0;0;171460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:31;87;0;1;0;0;0;0;13;87;0;0;7056;648;0;664;9;390;113;40;9;0;15995824;6747756;9248068;0;79900;1265520;241448;352300;4971808;16384;9314480;16;2097148;1536;2095612;0;0;256;0;0;496548;0;0;25077;0;0;0;0;171460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:32;86;0;2;0;0;0;0;12;88;0;0;7274;1257;14;672;9;390;113;40;9;0;15995824;6852588;9143236;0;80048;1265632;241456;352560;5069540;16384;9357032;16;2097148;1536;2095612;0;0;256;0;0;496556;540;100;25923;4;0;0;0;171468;0;0;0;0;0;0;0;0;0;11;5;16;540;100;640;29;20;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:33;87;0;1;0;0;0;0;13;87;0;0;7125;825;0;670;9;390;113;40;9;0;15995824;6968540;9027284;0;80048;1265976;241512;352696;5165440;32768;9357048;16;2097148;1536;2095612;0;0;460;0;0;496824;0;0;24304;0;0;0;0;171484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
